Origin_airport,Destination_airport,Origin_city,Destination_city,Passengers,Seats,Flights,Distance,Fly_date,Origin_population,Destination_population,Org_airport_lat,Org_airport_long,Dest_airport_lat,Dest_airport_long
PVD,EWR,"Providence, RI","Newark, NJ",2082,3942,38,160,1992-02-01,1507673,16930924,41.7326011657715,-71.4204025268555,40.6925010681152,-74.168701171875
LCH,BPT,"Lake Charles, LA","Beaumont, TX",27,34,1,49,2000-04-01,193463,384688,30.1261005401611,-93.2232971191406,29.9507999420166,-94.0206985473633
ELP,PHX,"El Paso, TX","Phoenix, AZ",1247,2480,20,347,2009-02-01,751296,4364094,31.80719948,-106.3779984,33.4342994689941,-112.012001037598
RDU,ORD,"Raleigh, NC","Chicago, IL",41,108,1,647,1996-04-01,674409,17287860,35.8776016235352,-78.7874984741211,41.97859955,-87.90480042
ORD,ELP,"Chicago, IL","El Paso, TX",5756,8615,62,1236,1996-03-01,17287860,674005,41.97859955,-87.90480042,31.80719948,-106.3779984
BUF,FNT,"Buffalo, NY","Flint, MI",34,34,1,254,2002-08-01,1158368,438775,42.94049835,-78.73220062,42.9654006958008,-83.7435989379883
STL,BWI,"St. Louis, MO","Baltimore, MD",6747,8568,63,737,2005-08-01,2773155,2649586,38.7486991882324,-90.370002746582,39.17539978,-76.66829681
DTW,BOS,"Detroit, MI","Boston, MA",381,620,5,632,2006-02-01,8969084,8946954,42.2123985290527,-83.353401184082,42.36429977,-71.00520325
STL,BNA,"St. Louis, MO","Nashville, TN",509,870,29,271,2003-11-01,2743862,1386743,38.7486991882324,-90.370002746582,36.1245002746582,-86.6781997680664
SJC,MSP,"San Jose, CA","Minneapolis, MN",5270,9132,61,1576,1994-01-01,1590788,2690359,37.3625984191895,-121.929000854492,44.8819999695,-93.2218017578
ALB,DTW,"Albany, NY","Detroit, MI",79,148,1,488,2004-11-01,843928,8996622,42.7482986450195,-73.8016967773438,42.2123985290527,-83.353401184082
SEA,IAH,"Seattle, WA","Houston, TX",8289,10661,60,1874,2003-03-01,6277876,5084017,47.4490013122559,-122.30899810791,29.9843997955322,-95.3414001464844
XNA,ORD,"Fayetteville, AR","Chicago, IL",4223,8439,97,522,2004-03-01,397168,18664180,36.281898,-94.306801,41.97859955,-87.90480042
LIT,DFW,"Little Rock, AR","Dallas, TX",117,298,2,304,1995-06-01,564592,8787062,34.7294006348,-92.2242965698,32.896800994873,-97.0380020141602
PIT,FLL,"Pittsburgh, PA","Fort Lauderdale, FL",128,144,1,994,2000-12-01,2429023,5025806,40.49150085,-80.23290253,26.0725994110107,-80.152702331543
LAX,SFO,"Los Angeles, CA","San Francisco, CA",4891,6960,58,337,2004-05-01,25529180,8287044,33.94250107,-118.4079971,37.6189994812012,-122.375
LGA,BWI,"New York, NY","Baltimore, MD",110,118,1,185,2001-05-01,36980058,2577904,40.77719879,-73.87259674,39.17539978,-76.66829681
TUS,IAH,"Tucson, AZ","Houston, TX",5120,6144,48,936,1997-10-01,778684,4351339,32.1161003112793,-110.94100189209,29.9843997955322,-95.3414001464844
BNA,DTW,"Nashville, TN","Detroit, MI",3432,5480,40,457,2008-07-01,1556368,8847562,36.1245002746582,-86.6781997680664,42.2123985290527,-83.353401184082
ROC,ORD,"Rochester, NY","Chicago, IL",4930,5584,45,528,2009-08-01,1035566,19161134,43.1189002990723,-77.6724014282227,41.97859955,-87.90480042
LAN,DTW,"Lansing, MI","Detroit, MI",3923,7250,58,74,2001-04-01,450807,8958464,42.7787017822266,-84.58740234375,42.2123985290527,-83.353401184082
CVG,GRR,"Cincinnati, OH","Grand Rapids, MI",5116,7866,57,268,1994-01-01,1922360,683558,39.0488014221,-84.6678009033,42.88079834,-85.52279663
FLL,RIC,"Fort Lauderdale, FL","Richmond, VA",703,851,23,805,2005-02-01,5443159,1174017,26.0725994110107,-80.152702331543,37.505199432373,-77.3197021484375
CLL,DFW,"College Station, TX","Dallas, TX",11,30,1,164,1994-10-01,160451,8613622,30.58860016,-96.36380005,32.896800994873,-97.0380020141602
STL,CID,"St. Louis, MO","Cedar Rapids, IA",1000,2832,59,228,1993-05-01,2616153,218394,38.7486991882324,-90.370002746582,41.8847007751465,-91.7108001708984
JFK,MIA,"New York, NY","Miami, FL",118,118,1,1090,1997-08-01,34528632,9247394,40.63980103,-73.77890015,25.7931995391846,-80.2906036376953
STL,SEA,"St. Louis, MO","Seattle, WA",157,252,1,1710,1994-10-01,2624554,5485752,38.7486991882324,-90.370002746582,47.4490013122559,-122.30899810791
ORD,IAH,"Chicago, IL","Houston, TX",2260,4200,30,925,2009-09-01,19161134,5867489,41.97859955,-87.90480042,29.9843997955322,-95.3414001464844
DAY,ICT,"Dayton, OH","Wichita, KS",0,0,2,729,2003-08-01,845508,579800,39.902400970459,-84.2193984985352,37.6498985290527,-97.4330978393555
HOU,SAN,"Houston, TX","San Diego, CA",3166,4110,30,1312,2008-10-01,5726705,3019274,29.64539909,-95.27890015,32.7336006165,-117.190002441
MEM,ANC,"Memphis, TN","Anchorage, AK",0,0,39,3153,2003-02-01,1238075,339131,35.0424003601074,-89.9766998291016,61.1744003295898,-149.996002197266
MDT,DTW,"Harrisburg, PA","Detroit, MI",90,136,4,370,1998-03-01,499340,8944948,40.1935005188,-76.7633972168,42.2123985290527,-83.353401184082
BOS,JFK,"Boston, MA","New York, NY",1046,2610,87,187,1995-11-01,8357434,34261384,42.36429977,-71.00520325,40.63980103,-73.77890015
SNA,SJC,"Santa Ana, CA","San Jose, CA",13244,16470,135,342,2003-08-01,12717433,1723138,33.67570114,-117.8679962,37.3625984191895,-121.929000854492
LBF,GRI,"North Platte, NE","Grand Island, NE",0,0,4,125,2004-12-01,36083,68660,41.12620163,-100.6839981,40.9674987792969,-98.3096008300781
DCA,SPS,"Washington, DC","Wichita Falls, TX",59,72,1,1238,2006-07-01,10530024,149444,38.8521,-77.037697,33.98880005,-98.49189758
BNA,MSP,"Nashville, TN","Minneapolis, MN",966,3504,24,695,1992-03-01,1086033,2616238,36.1245002746582,-86.6781997680664,44.8819999695,-93.2218017578
CLE,MSY,"Cleveland, OH","New Orleans, LA",21,50,1,917,2007-09-01,2099185,1109415,41.4117012024,-81.8498001099,29.9934005737305,-90.2580032348633
EWR,RDU,"Newark, NJ","Raleigh, NC",5502,6450,129,416,2005-11-01,18798114,953157,40.6925010681152,-74.168701171875,35.8776016235352,-78.7874984741211
LAX,IAH,"Los Angeles, CA","Houston, TX",4243,5425,31,1379,2009-01-01,25749594,5867489,33.94250107,-118.4079971,29.9843997955322,-95.3414001464844
BFI,MEM,"Seattle, WA","Memphis, TN",37,59,1,1871,2005-12-01,6404776,1261429,47.5299987792969,-122.302001953125,35.0424003601074,-89.9766998291016
ATL,IND,"Atlanta, GA","Indianapolis, IN",17,148,1,432,1992-05-01,3245141,1337172,33.6366996765137,-84.4281005859375,39.7173,-86.294403
ORD,SFO,"Chicago, IL","San Francisco, CA",4894,10200,85,1846,2001-01-01,18385002,8359256,41.97859955,-87.90480042,37.6189994812012,-122.375
FLL,CLT,"Fort Lauderdale, FL","Charlotte, NC",10691,15106,83,632,2002-02-01,5212602,1406699,26.0725994110107,-80.152702331543,35.2140007019043,-80.9430999755859
TYS,CLT,"Knoxville, TN","Charlotte, NC",1436,2525,25,177,1996-03-01,593737,1164160,35.81100082,-83.9940033,35.2140007019043,-80.9430999755859
JFK,ORD,"New York, NY","Chicago, IL",257,480,3,740,2000-07-01,36705486,18235464,40.63980103,-73.77890015,41.97859955,-87.90480042
CMH,ATL,"Columbus, OH","Atlanta, GA",6,100,1,446,1999-01-01,1562409,3988728,39.9980010986328,-82.8918991088867,33.6366996765137,-84.4281005859375
LIT,ABQ,"Little Rock, AR","Albuquerque, NM",0,0,1,817,2001-07-01,617414,739531,34.7294006348,-92.2242965698,35.0401992797852,-106.609001159668
DFW,ATL,"Dallas, TX","Atlanta, GA",7500,9176,62,732,2007-01-01,12313304,5267527,32.896800994873,-97.0380020141602,33.6366996765137,-84.4281005859375
DCA,CLE,"Washington, DC","Cleveland, OH",618,1216,8,310,1991-05-01,8369110,2113056,38.8521,-77.037697,41.4117012024,-81.8498001099
